time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-16 00:00:00+00:00,1,1,,
2025-07-17 00:00:00+00:00,12,7,10.0,1.0
2025-07-18 00:00:00+00:00,4,4,1.0,1.0
2025-07-19 00:00:00+00:00,2,2,1.0,1.0
2025-07-20 00:00:00+00:00,1,1,1.0,1.0
2025-07-21 00:00:00+00:00,22,9,14.0,1.0
2025-07-22 00:00:00+00:00,3,2,24.0,1.0
